"","Name","Link","OverallRating","StartingPrice","DistanceFromCityCentre"
"110","Family & bAKpAK Tokyo Hostel","https://www.hostelworld.com/hosteldetails.php/Family-and-bAKpAK-Tokyo-Hostel/Tokyo/61467",8.4,"CA$20.95","9.8km from city centre  - Show on Map"
"111","Koenji Junjo Hotel","https://www.hostelworld.com/hosteldetails.php/Koenji-Junjo-Hotel/Tokyo/285896",8.4,"CA$35.92","3.9km from city centre  - Show on Map"
"112","&And Hostel Ueno","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Ueno/Tokyo/278139",10,"CA$31.61","8.7km from city centre  - Show on Map"
"113","Asakusa Ryokan Toukaisou","https://www.hostelworld.com/hosteldetails.php/Asakusa-Ryokan-Toukaisou/Tokyo/11157",8,"CA$43.10","9.3km from city centre  - Show on Map"
"114","Lyuro Tokyo Kiyosumi -The Share Hotels-","https://www.hostelworld.com/hosteldetails.php/Lyuro-Tokyo-Kiyosumi-The-Share-Hotels-/Tokyo/277072",8.8,"CA$41.91","9.1km from city centre  - Show on Map"
"115","Capsule Value Kanda","https://www.hostelworld.com/hosteldetails.php/Capsule-Value-Kanda/Tokyo/66487",7.1,"CA$35.92","7.1km from city centre  - Show on Map"
"116","Shimokita Hostel","https://www.hostelworld.com/hosteldetails.php/Shimokita-Hostel/Tokyo/286830",8.1,"CA$47.89","4km from city centre  - Show on Map"
"117","Senju Tamuraya","https://www.hostelworld.com/hosteldetails.php/Senju-Tamuraya/Tokyo/290603",9.6,"CA$39.51","11km from city centre  - Show on Map"
"118","YADOYA Guesthouse Orange","https://www.hostelworld.com/hosteldetails.php/YADOYA-Guesthouse-Orange/Tokyo/93939",4.2,"CA$23.95","2.9km from city centre  - Show on Map"
"119","Hiromas Hostel in Akiba","https://www.hostelworld.com/hosteldetails.php/Hiromas-Hostel-in-Akiba/Tokyo/283389",8.5,"CA$23.95","7.3km from city centre  - Show on Map"
"120","Sukeroku-no-Yado Sadachiyo","https://www.hostelworld.com/hosteldetails.php/Sukeroku-no-Yado-Sadachiyo/Tokyo/29483",10,"CA$98.18","9.6km from city centre  - Show on Map"
"121","bnb+TripCommunityTokyo","https://www.hostelworld.com/hosteldetails.php/bnbTripCommunityTokyo/Tokyo/282618",7.1,"CA$23.95","5.8km from city centre  - Show on Map"
"122","Ryoma Ikebukuro I","https://www.hostelworld.com/hosteldetails.php/Ryoma-Ikebukuro-I/Tokyo/286220",0,"CA$33.53","5.5km from city centre  - Show on Map"
"123","Capsule Hotel Anshin Oyado Ogikubo","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Ogikubo/Tokyo/270313",10,"CA$75.19","7km from city centre  - Show on Map"
"124","Asakusahotel Wasou","https://www.hostelworld.com/hosteldetails.php/Asakusahotel-Wasou/Tokyo/271945",8.6,"CA$23.95","9.9km from city centre  - Show on Map"
"125","J's Backpackers","https://www.hostelworld.com/hosteldetails.php/J-s-Backpackers/Tokyo/93709",7.4,"CA$21.55","16.6km from city centre  - Show on Map"
"126","Edo Tokyo Hostel","https://www.hostelworld.com/hosteldetails.php/Edo-Tokyo-Hostel/Tokyo/272412",4.9,"CA$21.55","15.8km from city centre  - Show on Map"
"127","With B","https://www.hostelworld.com/hosteldetails.php/With-B/Tokyo/285883",8.3,"CA$37.18","8.6km from city centre  - Show on Map"
"128","Guesthouse Kagaribi","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Kagaribi/Tokyo/273011",9.1,"CA$26.34","11.8km from city centre  - Show on Map"
